% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.115	1	1	12	6	1	28	2292
0.115	2	2	12	6	1	28	2292
0.215	1	1	22	6	1	28	2292
0.215	2	2	22	6	1	28	2292
0.315	1	1	32	6	1	28	2292
0.315	2	2	32	6	1	28	2292
0.415	1	1	42	6	1	28	2292
0.415	2	2	42	6	1	28	2292
0.515	1	1	52	6	1	28	2292
0.515	2	2	52	6	1	28	2292
0.615	1	1	62	6	1	28	2292
0.615	2	2	62	6	1	28	2292
0.715	1	1	72	6	1	28	2292
0.715	2	2	72	6	1	28	2292
0.815	1	1	82	6	1	28	2292
0.815	2	2	82	6	1	28	2292
0.915	1	1	92	6	1	28	2292
0.915	2	2	92	6	1	28	2292
1.015	1	1	102	6	1	28	2292
1.015	2	2	102	6	1	28	2292
